IP Address,Flows
172.16.133.78,1441
172.16.133.126,98
98.139.240.23,16
172.16.133.41,984
172.16.133.119,4
172.16.133.56,1171
172.16.133.63,596
67.217.88.129,29
172.16.133.75,758
64.74.80.15,25
173.194.75.103,30
23.32.176.63,15
23.21.122.20,7
23.23.126.165,1
23.21.62.199,19
204.236.224.158,22
172.16.133.50,60
23.0.52.46,4
64.94.107.11,4
216.115.208.199,232
216.115.217.210,32
138.108.7.20,13
67.228.168.221,18
172.16.133.48,246
172.16.133.163,498
8.8.8.8,176
172.16.133.120,92
67.69.196.212,1
67.217.65.54,46
157.56.234.118,98
96.43.146.164,18
216.219.115.163,31
172.16.133.55,820
172.16.128.15,30
172.16.128.233,189
172.16.133.30,545
172.16.133.34,537
172.16.133.25,1147
67.217.94.156,70
184.73.235.12,11
204.232.250.57,9
216.219.115.250,5
132.245.1.150,338
64.56.203.22,55
216.115.217.144,21
172.16.133.26,1126
54.243.254.190,72
98.139.161.29,8
216.246.75.64,4
216.115.222.200,2
172.16.133.121,336
216.219.115.54,23
67.217.64.99,1691
67.217.64.64,26
157.56.245.198,53
23.33.47.100,171
216.137.33.57,8
68.64.30.250,4
68.64.28.70,83
4.69.155.78,4
67.217.66.244,2
172.16.133.153,266
4.71.172.82,4
173.194.43.59,64
68.64.13.250,5
208.111.161.254,151
206.188.4.9,1
202.173.24.200,5
193.182.8.75,6
172.16.133.71,76
67.217.94.135,74
172.16.133.1,96
72.21.195.34,3
50.78.11.102,16
184.72.255.145,8
173.194.43.30,8
74.63.41.218,3
174.129.16.74,2
216.219.115.160,61
68.64.28.20,67
172.16.133.237,14
23.13.208.81,4
199.94.91.63,2
98.216.191.85,9
72.80.185.137,15
96.120.66.45,16
68.198.245.116,13
71.56.69.159,5
173.194.43.57,35
172.16.133.45,205
38.124.22.82,52
74.125.226.224,1
64.208.138.118,2
68.64.21.71,19
96.43.146.178,88
74.125.226.222,20
128.119.195.145,19
23.13.211.100,184
199.102.234.31,76
67.217.65.49,56
4.69.134.154,1
172.16.133.112,55
63.116.244.160,2
23.15.129.86,71
4.68.127.209,9
216.115.216.31,44
173.194.75.106,32
71.252.224.198,23
23.20.26.196,16
74.125.226.86,16
67.217.88.86,32
67.217.88.161,22
63.116.244.80,4
198.145.13.24,1
67.217.64.65,66
67.217.66.49,46
23.62.105.87,62
67.217.65.99,35
184.73.181.74,96
23.61.18.110,11
216.52.242.80,255
74.125.226.245,35
184.73.184.196,1
206.33.41.253,81
173.194.75.104,47
69.132.122.65,10
207.171.14.219,1
68.64.28.24,57
173.194.43.45,49
173.194.43.32,30
74.125.226.67,14
172.16.133.40,413
74.125.226.91,11
209.107.209.50,161
216.115.216.98,21
172.16.128.202,76
23.0.49.244,109
173.194.43.60,86
172.16.139.250,61
74.125.226.60,10
216.115.101.178,1
23.67.242.73,34
172.16.133.128,110
157.56.244.214,100
68.64.28.91,62
68.64.28.169,46
174.129.24.14,46
23.33.84.46,2
173.194.43.0,34
204.232.201.76,12
173.194.43.21,30
67.217.86.242,50
67.217.86.146,75
67.217.86.124,64
67.217.94.204,60
67.217.66.54,46
172.16.133.15,6
173.194.43.58,31
173.194.43.9,15
69.25.24.24,6
68.64.28.108,59
216.219.112.250,2
23.21.74.238,1
173.194.43.38,47
74.119.118.84,4
64.94.2.224,1
180.153.30.250,7
208.111.160.6,157
69.120.250.50,17
23.66.230.80,167
72.52.5.192,13
119.47.118.78,1
172.16.133.234,49
172.16.133.72,36
138.108.6.20,17
63.147.189.115,12
4.69.132.85,1
216.115.217.254,4
172.16.133.115,52
68.64.28.66,35
173.194.43.33,53
207.237.194.246,1
216.219.115.183,91
216.115.217.201,63
68.67.159.147,5
206.188.4.2,4
70.99.54.203,101
23.62.151.196,3
216.115.220.254,5
67.69.174.24,1
74.125.226.77,6
23.0.51.167,2
23.32.180.174,7
68.64.28.123,61
173.194.76.125,18
157.56.238.6,311
216.115.209.97,12
129.10.139.136,12
193.182.8.55,38
172.16.133.18,292
50.30.152.70,15
97.89.18.110,7
172.16.133.27,43
173.194.43.47,41
173.194.43.41,30
216.219.117.209,10
172.16.124.85,1
216.115.217.225,33
173.194.43.53,62
67.217.95.254,7
172.16.133.101,15
172.16.133.51,3
202.173.25.200,4
96.43.146.160,2
202.173.27.250,8
184.73.197.44,21
76.29.54.243,8
54.235.187.196,47
107.20.161.243,5
5.79.25.106,13
216.115.216.44,19
172.16.133.90,7
216.115.217.198,17
174.129.24.9,452
172.16.133.58,15
23.20.41.5,2
173.194.74.84,12
173.194.43.43,25
173.194.41.111,9
23.33.47.60,50
96.43.149.26,16
66.31.24.112,7
64.74.80.244,29
23.33.91.46,1
64.74.101.52,1
66.150.102.78,1
66.235.146.171,11
64.74.80.187,5
174.129.20.55,18
67.217.65.244,4
23.6.20.174,2
216.115.212.254,4
68.49.25.49,4
96.43.148.26,14
204.14.235.124,13
23.67.242.59,2
172.16.133.96,318
74.125.226.201,12
64.74.80.188,41
50.136.53.54,11
193.182.8.52,111
199.59.149.230,4
173.194.75.147,32
157.56.240.102,1404
23.33.81.213,27
8.27.243.253,84
216.219.120.244,8
172.16.133.16,197
208.85.42.33,113
173.194.68.189,18
209.46.23.85,7
66.92.149.253,17
65.115.189.199,1
67.69.196.147,1
67.217.94.254,20
132.245.2.22,87
68.64.5.249,9
65.31.30.198,15
67.217.78.31,21
78.108.117.250,5
216.219.117.244,8
68.87.152.185,11
69.9.238.98,3
208.47.254.83,12
173.194.43.46,19
172.16.133.242,44
172.16.128.201,422
216.115.208.203,11
96.242.17.13,12
67.217.64.97,27
68.87.152.189,16
129.64.197.158,16
68.64.28.164,64
216.137.33.105,4
74.125.226.207,38
173.194.43.3,6
173.194.43.6,9
173.194.75.99,21
184.73.225.104,45
74.125.226.213,3
172.16.133.69,2
173.194.43.54,79
157.56.234.137,7
173.194.43.36,24
86.162.66.33,1
64.12.96.244,2
208.71.123.86,1
71.231.31.96,8
208.81.234.106,1
91.103.138.13,2
4.69.134.137,1
173.194.43.35,41
157.56.237.150,54
24.44.106.119,27
74.125.170.42,674
205.216.16.228,222
68.87.145.49,10
169.233.51.66,237
172.16.133.184,384
74.125.226.195,15
74.125.226.214,33
204.14.232.101,9
172.16.128.234,3
172.16.139.241,38
107.22.210.163,21
173.194.43.40,51
208.117.233.13,2
173.194.43.61,3
107.22.199.132,13
4.69.145.8,1
4.59.112.38,1
173.194.43.37,13
216.185.152.144,16
172.16.133.252,34
216.115.216.101,34
4.71.186.37,3
67.17.193.41,5
107.20.234.161,1
93.184.215.248,1
173.61.73.122,28
67.69.174.18,5
216.139.253.66,1
157.56.240.22,3
67.217.67.129,9
4.69.138.254,4
72.233.61.123,2
4.69.132.89,4
67.152.103.227,35
93.184.216.119,5
173.194.74.95,17
74.125.226.246,13
74.125.226.227,2
209.112.253.15,56
209.107.209.26,1
74.125.226.193,11
23.67.242.10,5
69.174.248.253,43
207.171.163.132,1
141.101.113.194,16
93.184.216.139,13
208.47.254.58,4
216.151.187.105,2
208.47.254.73,9
65.55.227.188,2
23.59.225.224,4
68.142.108.128,2
76.74.248.163,2
64.17.236.31,48
69.28.187.188,13
63.251.134.223,1
107.22.18.198,29
4.69.153.21,1
208.47.254.81,43
23.67.243.89,3
173.2.154.228,10
23.33.111.139,7
165.121.238.181,4
23.46.20.239,3
23.32.177.224,1
74.125.226.7,12
207.38.140.238,13
131.253.14.73,1
23.59.228.136,2
23.33.95.139,12
67.69.174.115,4
38.70.64.178,42
74.125.226.219,1
4.69.149.146,1
23.60.225.244,1
50.16.211.32,11
4.53.116.26,3
74.125.226.13,8
74.125.226.47,14
204.246.169.230,1
69.174.248.254,21
173.204.112.2,1
54.243.68.206,4
63.241.108.124,16
208.47.254.90,1
107.21.241.184,2
67.228.168.216,3
69.164.34.128,4
31.13.74.7,22
74.125.226.192,3
23.46.20.251,2
23.60.241.224,12
173.252.110.27,61
4.53.130.18,3
23.33.83.78,45
12.129.199.104,1
111.221.77.166,1
208.47.254.26,6
204.93.223.148,1
184.84.3.78,74
63.208.138.234,2
67.228.168.217,1
172.16.133.248,32
23.33.82.110,19
172.16.133.54,697
173.192.42.178,1
173.194.31.174,3
68.9.194.237,14
174.37.29.148,11
205.251.242.128,1
50.16.236.32,2
208.47.254.82,3
173.194.31.178,44
74.205.80.2,3
216.52.121.204,53
66.151.150.190,13
23.33.44.168,2
74.125.226.59,2
23.45.65.57,39
23.67.243.19,13
98.129.93.186,1
69.28.187.152,1
173.59.1.130,15
173.194.43.34,38
173.194.43.39,62
173.62.112.151,8
67.217.64.100,24
208.47.254.27,7
107.20.217.22,2
216.115.223.200,14
75.126.109.194,7
63.73.131.68,1
67.69.196.153,2
199.204.31.83,6
208.47.254.32,10
208.47.254.9,27
208.47.254.24,7
216.137.33.133,5
174.35.22.77,3
23.67.242.27,3
67.69.174.9,68
208.89.13.133,6
157.56.236.89,7
199.204.29.117,2
205.234.225.137,2
132.245.1.166,4
23.60.238.131,27
67.69.174.122,2
208.47.254.8,8
206.190.56.191,1
65.55.71.195,1
199.204.31.89,17
216.219.113.250,14
216.137.33.49,1
23.60.225.169,1
74.125.226.58,5
173.194.68.125,11
64.74.80.185,10
74.120.148.5,1
66.235.133.14,4
50.16.233.105,1
174.129.236.22,1
74.120.148.2,10
23.21.215.52,5
50.18.47.197,2
74.125.226.26,5
67.69.174.123,3
199.59.148.86,11
74.121.142.246,1
74.125.0.74,2
174.35.24.67,12
199.204.31.123,1
23.21.250.167,12
174.35.22.85,13
75.101.140.131,16
208.71.123.129,1
23.60.158.239,4
190.93.246.193,1
108.28.150.190,14
54.243.251.10,1
64.214.141.254,2
50.19.208.49,2
108.160.161.163,2
107.20.158.52,36
199.47.216.146,1
216.115.219.126,15
64.90.204.229,60
68.67.159.201,4
63.135.90.139,2
74.125.226.230,1
74.119.118.94,9
63.135.90.138,5
23.45.65.74,2
172.16.133.4,6
173.241.242.12,4
23.67.242.11,3
208.92.52.90,3
74.217.78.146,3
198.82.205.114,11
74.125.226.38,2
63.116.244.114,102
96.43.146.13,4
54.243.98.221,2
24.238.106.59,2
8.8.4.4,15
199.48.204.30,17
72.21.211.130,4
63.116.244.144,3
23.67.242.17,3
209.6.55.79,5
207.171.163.205,2
74.125.226.2,11
68.33.218.83,18
199.59.150.12,3
64.4.23.161,4
74.125.226.90,3
74.121.134.156,1
216.219.118.244,17
65.54.80.208,1
68.64.4.249,8
216.219.116.244,7
192.168.1.5,3
174.65.136.31,3
165.124.181.58,10
67.244.23.29,7
172.16.133.14,7
157.55.235.144,4
63.116.244.145,3
71.234.178.21,16
50.149.21.29,20
23.67.242.64,1
184.73.187.64,3
66.208.228.122,1
132.245.1.134,3
208.47.254.35,1
69.28.172.198,1
35.24.119.169,8
76.92.112.222,3
67.69.174.113,2
66.235.142.49,1
63.116.244.83,4
74.125.226.85,63
23.62.105.231,2
216.115.216.250,7
63.116.244.130,5
23.67.243.81,4
208.44.23.162,27
54.240.160.242,2
23.60.245.109,2
216.52.92.45,2
23.33.47.196,1
74.125.226.231,5
23.45.65.19,2
68.64.26.250,8
54.240.160.134,6
23.46.16.170,4
64.94.107.47,1
64.94.107.34,2
23.62.104.251,7
172.16.133.17,9
15.193.0.234,226
4.23.40.126,2
63.116.244.155,31
68.64.21.35,164
15.216.110.140,3
8.18.45.80,4
75.98.35.10,1
199.48.206.78,13
199.48.206.210,18
199.48.206.68,4
107.21.214.225,11
199.48.206.108,6
68.86.94.201,4
98.139.225.42,2
68.64.24.250,13
67.69.196.40,5
96.43.146.177,7
66.235.139.153,4
192.147.107.13,4
168.215.63.101,5
4.26.35.158,1
111.221.77.150,7
24.210.53.247,8
64.236.116.3,2
208.71.125.135,1
74.217.1.83,1
66.77.124.68,2
216.52.95.4,1
78.108.118.250,10
68.86.93.185,1
98.209.196.102,13
172.16.133.22,8
68.85.69.49,8
78.108.119.250,4
173.194.43.42,10
64.94.107.62,6
208.85.40.20,3
23.33.44.150,1
68.64.25.250,6
216.115.209.254,4
108.168.241.135,7
68.87.147.81,10
4.69.134.74,4
72.21.220.143,1
108.13.146.190,11
63.140.35.28,1
184.72.243.110,1
72.246.23.100,3
23.15.129.231,8
68.64.28.62,34
50.17.220.219,1
96.3.161.187,6
23.32.182.35,1
174.35.22.147,1
68.86.95.29,1
193.182.8.24,7
74.125.226.5,2
74.125.170.143,489
74.101.38.221,15
74.125.226.39,2
157.55.235.152,1
68.86.93.33,3
64.4.23.147,1
64.94.107.63,1
64.94.107.58,5
173.252.100.27,23
4.69.151.181,1
74.125.226.35,2
74.125.226.199,7
64.94.107.55,3
74.125.170.114,111
157.56.52.13,1
173.194.75.105,35
74.125.228.127,2
74.125.170.112,1
23.33.85.199,60
72.21.91.196,8
23.67.242.83,5
96.243.227.77,18
64.215.255.17,9
216.38.163.167,5
74.121.142.248,7
208.89.14.135,5
4.53.40.62,2
216.137.33.161,2
180.153.31.250,9
68.86.87.98,1
65.55.223.21,2
74.125.226.226,5
63.218.9.42,1
71.126.171.148,8
199.16.156.40,2
65.55.223.24,2
111.221.77.161,1
184.168.0.113,1
66.59.190.133,1
157.55.130.158,3
23.67.243.65,6
108.160.161.158,1
72.21.214.199,2
204.2.197.201,1
64.94.107.14,5
64.94.18.135,2
68.86.89.186,1
204.14.235.101,21
74.125.226.25,5
172.16.133.38,2
72.21.91.97,4
98.129.142.248,11
208.74.204.95,5
209.167.231.15,4
108.162.199.98,29
216.137.33.73,71
184.173.190.13,1
172.16.139.253,3
72.21.91.121,14
23.15.128.239,7
207.158.62.98,1
23.62.164.136,7
23.6.17.224,23
23.62.195.78,4
31.13.77.42,3
172.16.139.249,1
4.28.73.137,3
216.137.33.45,1
23.67.243.40,9
23.32.180.136,17
69.20.31.45,2
198.82.107.217,6
173.192.61.226,3
205.203.132.1,4
23.45.65.10,16
173.192.42.179,5
67.228.30.242,2
65.55.223.38,1
209.112.253.229,1
23.67.242.50,5
173.194.73.99,13
216.146.35.240,1
172.16.133.247,2
199.59.148.247,2
173.194.43.7,1
141.101.123.194,16
72.21.91.111,3
23.60.230.152,3
199.127.194.206,2
157.56.52.24,2
204.13.194.137,9
69.59.149.117,2
72.32.11.141,3
173.201.252.207,20
69.42.109.196,3
74.125.226.228,4
23.60.228.46,1
12.130.48.50,57
173.194.43.8,1
12.130.48.51,53
75.98.93.51,3
50.17.253.124,1
216.52.121.177,8
54.235.184.94,2
173.204.219.5,2
23.21.118.18,5
108.170.193.53,46
208.44.23.59,4
23.15.128.66,5
98.138.49.43,27
216.137.33.81,14
74.125.226.205,5
157.55.113.200,1
96.8.82.144,1
64.5.35.24,1
74.125.226.217,6
205.210.187.119,14
205.210.187.172,3
107.22.3.252,1
208.71.125.1,12
74.125.226.218,16
157.56.134.97,16
199.7.54.72,2
69.172.216.156,10
65.54.81.133,28
23.33.85.215,3
68.67.159.186,1
64.236.101.12,1
68.67.159.224,1
216.52.92.23,3
209.190.70.254,20
204.13.194.136,4
205.210.187.222,1
23.60.159.231,5
67.217.64.244,6
23.60.224.191,1
64.236.116.18,1
173.193.240.138,1
69.171.241.10,4
209.190.106.126,9
54.243.105.25,2
8.19.18.18,1
54.243.145.248,2
96.43.146.49,62
107.20.206.100,1
108.160.161.157,1
204.144.141.26,1
23.46.17.144,1
72.21.222.147,1
157.55.130.152,1
208.47.254.42,2
107.21.205.194,1
72.32.20.57,2
63.116.244.170,1
66.151.158.187,4
98.139.225.43,8
74.121.139.112,14
184.84.36.46,4
72.21.194.32,1
74.125.142.95,8
204.154.111.33,6
67.69.174.129,6
107.22.223.184,9
74.125.226.1,15
74.217.253.61,1
64.215.255.57,3
23.21.75.80,2
74.125.239.15,1
108.59.243.194,3
107.22.183.9,1
65.19.76.135,6
23.21.204.69,2
67.69.196.24,1
208.71.125.129,6
8.30.199.67,2
54.243.97.248,4
173.194.43.55,6
66.220.152.19,25
64.208.138.244,5
172.16.133.232,9
70.42.13.101,7
38.126.130.199,5
50.22.198.102,5
76.13.234.33,7
199.27.74.193,4
216.157.106.190,1
184.84.3.53,29
23.0.60.101,10
157.56.241.118,4
66.235.138.2,3
23.62.193.244,9
107.23.217.190,1
173.194.73.105,1
108.32.188.171,3
205.188.9.102,1
157.56.244.217,4
65.54.81.135,16
23.67.242.72,1
4.69.135.185,1
72.32.20.62,1
15.217.8.105,1
67.171.115.41,11
208.47.254.10,1
66.69.19.126,77
71.9.60.231,42
64.208.138.248,3
69.2.103.57,2
184.173.89.4,2
199.47.218.150,4
213.199.179.160,2
4.69.140.145,2
173.194.43.63,1
208.47.254.57,3
208.96.31.84,2
74.125.226.40,1
205.188.2.206,1
192.221.102.253,1
15.240.238.52,4
208.47.254.34,8
69.171.246.17,2
67.69.199.118,1
173.194.43.4,2
187.59.124.8,5
199.38.164.156,2
74.125.226.6,1
63.146.126.10,4
199.16.156.104,3
67.69.174.130,5
64.208.138.143,2
54.243.192.249,4
23.21.81.234,1
64.208.138.117,2
72.21.203.149,5
23.61.0.81,3
23.60.240.63,8
208.173.129.62,1
173.194.73.104,79
23.22.135.102,6
204.93.223.146,5
199.27.72.130,15
216.137.33.109,3
216.137.33.1,7
64.74.80.70,2
72.44.52.222,13
204.85.83.100,5
63.251.26.2,1
157.56.52.30,5
74.125.226.70,370
74.125.226.14,105
203.214.65.251,2
74.201.34.2,4
23.62.196.46,1
23.21.84.31,1
70.184.144.100,3
54.241.29.133,75
72.21.91.19,2
23.6.20.211,1
23.23.107.148,2
172.16.133.110,9
74.205.116.37,1
67.69.196.48,1
67.69.196.155,1
31.13.74.10,15
199.59.148.11,1
209.139.228.58,1
184.169.137.94,4
97.104.102.121,2
50.18.252.109,17
172.16.133.7,1
172.16.133.122,1
184.51.251.100,4
72.233.61.125,4
23.21.214.217,13
173.194.74.189,1
204.246.169.222,16
74.125.226.30,4
64.208.138.251,1
107.22.214.3,1
208.68.110.117,5
172.16.128.203,3
74.125.226.206,1
173.194.43.62,1
31.13.77.58,21
23.67.243.42,7
208.68.110.119,2
176.32.96.31,17
74.217.34.33,10
50.57.17.148,3
74.125.142.125,1
173.167.56.110,1
157.166.226.108,6
173.194.74.121,9
54.240.160.30,14
157.55.211.160,9
208.47.254.67,2
69.171.246.16,6
67.69.196.152,2
74.125.133.189,4
72.32.20.63,3
199.27.208.20,91
204.246.169.43,7
54.240.160.238,14
174.129.2.251,1
193.149.47.76,2
71.62.158.222,101
209.193.97.196,2
199.27.208.19,1
204.232.250.59,2
107.21.255.53,8
67.69.196.139,9
176.32.96.6,1
199.59.150.43,3
176.32.100.5,1
176.32.98.118,1
173.22.42.240,1
208.93.140.140,6
108.13.7.222,35
204.246.169.70,7
23.13.208.74,1
72.21.215.132,6
64.208.138.113,9
107.21.93.12,1
67.69.174.136,3
208.47.254.49,1
67.221.174.61,1
198.61.152.151,3
23.61.31.139,3
216.221.224.26,15
157.166.240.13,2
157.166.255.245,2
74.122.143.24,2
67.202.66.161,1
23.13.210.227,4
8.27.253.125,1
70.42.13.100,1
173.194.43.56,1
108.161.187.32,2
204.14.233.101,2
54.243.66.79,1
23.32.181.109,5
64.119.157.98,1
204.13.194.191,5
193.149.47.98,3
64.74.103.175,2
184.172.28.153,1
208.111.135.60,5
23.21.65.96,1
50.19.123.188,2
108.168.136.156,2
67.69.174.25,1
184.172.28.156,1
50.116.194.21,4
184.173.189.190,2
173.241.242.7,3
23.32.178.116,1
149.174.149.39,1
67.217.177.93,1
23.0.50.77,1
85.90.254.45,1
23.67.242.66,1
74.125.226.4,5
107.6.106.10,1
207.171.163.14,7
66.114.52.21,2
66.175.214.5,3
208.44.23.50,1
23.67.242.24,1
74.117.199.102,1
8.9.23.204,1
68.71.249.121,1
67.203.19.35,1
74.125.226.198,2
151.193.254.39,1
216.52.121.178,2
174.35.22.43,1
15.201.8.73,38
174.129.250.132,1
157.56.240.246,3
8.27.247.119,10
74.125.226.233,4
23.33.87.130,1
199.59.150.39,2
199.47.219.147,2
93.184.216.229,1
23.33.44.79,1
74.122.143.12,2
63.140.58.150,3
184.84.43.32,1
108.59.243.196,1
204.160.99.126,4
68.67.159.235,4
173.193.216.81,7
199.30.80.32,3
216.137.33.37,3
173.194.74.191,15
173.194.43.44,5
50.97.242.226,1
208.78.169.230,5
23.33.91.120,3
23.45.65.25,1
23.21.72.43,1
174.35.22.39,1
67.217.177.187,4
108.162.205.83,1
67.217.177.126,4
204.11.51.34,1
23.67.243.58,7
64.208.138.176,5
23.67.242.80,7
69.171.235.16,6
66.119.34.40,1
208.118.234.120,1
64.94.107.25,2
108.170.194.161,4
174.36.237.101,3
108.168.142.94,3
209.99.98.33,43
23.67.243.43,1
38.97.103.136,3
172.16.133.91,1
54.240.160.158,1
74.125.226.89,2
67.202.66.160,1
67.202.66.205,1
107.23.217.81,4
70.42.33.241,1
107.21.54.29,3
98.113.186.78,8
208.85.44.31,3
208.85.41.43,2
107.20.170.67,1
216.137.33.233,10
208.43.249.2,3
72.14.238.232,1
213.199.179.161,1
4.69.134.78,1
64.208.138.101,1
174.36.244.134,1
72.28.142.76,2
65.55.171.159,1
64.94.107.19,1
17.164.0.36,1
17.172.192.78,2
107.22.194.87,1
174.129.214.80,1
50.116.194.23,2
74.125.226.16,3
67.210.115.228,37
23.67.243.66,2
67.69.196.66,1
157.56.52.28,1
199.47.216.177,1
66.199.173.81,3
64.94.107.46,3
54.235.137.123,2
23.45.65.42,2
67.228.244.117,3
208.98.232.43,52
173.194.68.95,4
72.233.127.217,9
23.67.243.48,2
96.43.146.149,1
172.16.133.19,2
23.62.194.77,1
206.190.57.60,4
74.125.226.79,1
93.184.216.169,3
50.16.204.12,5
74.125.226.17,2
216.137.33.117,1
173.255.204.239,1
98.137.80.31,3
205.153.84.114,2
98.139.240.22,1
74.125.228.113,13
74.201.120.8,2
199.27.208.55,13
23.33.83.243,63
65.55.223.29,1
24.63.143.150,2
23.67.243.25,1
216.27.91.218,34
199.7.51.231,4
193.182.8.38,3
74.63.51.79,89
91.190.216.53,1
199.27.208.32,3
74.63.52.167,241
76.96.40.158,7
63.116.244.154,2
116.90.133.49,16
74.125.226.229,1
50.19.93.194,1
4.79.208.130,1
68.142.253.40,2
68.142.253.72,1
167.8.226.9,3
66.175.215.85,1
207.171.14.112,1
204.14.237.121,1
23.45.65.67,3
63.97.94.126,83
173.192.115.20,1
193.120.199.14,1
204.9.163.200,1
208.85.44.22,90
66.151.183.41,1
128.177.36.73,41
216.38.172.159,1
23.67.242.211,1
184.75.210.3,8
54.234.89.21,1
50.17.197.129,1
67.69.174.114,6
107.21.205.223,1
64.94.18.142,1
208.47.254.25,7
23.67.243.26,3
209.85.252.242,1
173.194.73.94,8
172.16.128.105,1
74.125.226.37,34
192.147.107.14,2
128.177.36.72,123
178.255.83.1,1
23.0.54.218,1
199.7.48.72,1
173.194.76.189,2
15.240.238.56,2
63.251.28.128,2
68.71.216.157,4
199.127.194.80,4
199.127.194.178,1
50.17.207.24,3
69.31.117.22,4
72.21.207.18,1
15.192.136.170,75
4.69.155.206,1
4.71.172.86,2
192.150.16.64,1
128.177.36.78,1
63.116.244.162,3
15.216.110.21,9
74.125.228.115,4
74.125.228.114,1
64.215.255.94,2
107.21.110.186,3
64.208.138.174,1
205.188.93.194,1
50.116.194.24,2
23.67.242.106,1
64.215.255.95,2
216.10.195.152,3
68.49.1.159,1
68.71.212.152,3
23.67.242.115,1
216.137.33.221,5
63.116.244.81,8
74.125.226.0,3
74.125.142.84,3
74.125.226.33,17
72.1.65.180,4
74.125.170.153,34
76.74.248.254,14
74.125.226.73,5
74.125.226.78,3
98.139.183.24,18
54.243.166.36,2
98.137.80.33,90
23.67.242.104,1
98.139.50.175,3
23.67.243.50,3
23.66.231.48,1
65.54.165.64,1
64.94.107.54,1
67.69.196.176,1
216.39.54.36,5
98.142.99.171,1
184.168.192.63,14
23.23.117.77,1
74.125.226.71,1
134.181.229.92,2
157.56.232.182,2
69.146.143.158,1
69.164.199.102,2
4.69.149.82,1
4.69.153.29,1
108.59.243.202,1
98.139.225.13,2
111.221.74.22,1
76.13.115.116,10
107.21.174.95,1
107.22.33.210,2
209.234.234.12,5
23.67.243.35,5
192.221.110.126,3
76.13.116.133,6
206.190.56.190,2
209.247.230.167,1
209.234.235.129,6
98.139.200.238,1
208.117.46.102,2
174.35.22.75,13
4.69.138.222,1
50.58.197.194,1
184.73.247.227,1
23.67.242.42,1
23.21.62.111,1
65.54.81.18,4
4.69.134.133,1
66.35.252.234,1
72.21.91.187,1
157.56.240.137,3
4.78.169.49,1
68.64.28.129,2
108.160.160.163,2
64.94.107.23,1
69.147.86.184,1
107.20.92.205,1
4.69.155.81,1
74.125.133.125,1
64.94.107.18,1
63.243.128.45,1
199.16.156.8,1
157.56.234.6,5
74.125.228.112,2
91.190.218.55,1
31.13.73.26,1
66.235.139.121,4
72.14.213.103,5
194.192.199.252,5
65.54.95.39,8
63.215.202.48,2
65.55.17.37,5
207.46.125.254,3
208.82.236.130,14
65.54.167.27,5
66.220.149.32,3
96.17.8.49,1
65.55.206.199,16
207.46.113.78,7
72.14.213.18,9
147.31.122.1,10
128.241.90.211,5
204.14.234.101,2
65.54.95.66,5
65.55.15.244,7
